Maintainer username,Sponsorship amount in USD,REMARKS
Abse2001,5,"2025-03-04: 2; 2025-03-11: 1; 2025-03-18: 0; 2025-03-25: 0"
MustafaMulla29,5,"2025-03-04: 1; 2025-03-11: 0; 2025-03-18: 1; 2025-03-25: 0"
ShiboSoftwareDev,5,"2025-03-04: 1; 2025-03-11: 0; 2025-03-18: 0; 2025-03-25: 0"
techmannih,50,"2025-03-04: 2; 2025-03-11: 2; 2025-03-18: 0; 2025-03-25: 0"
Anshgrover23,5,"2025-03-04: 1; 2025-03-11: 0; 2025-03-18: 0; 2025-03-25: 2"
kom-senapati,5,"2025-03-04: 1; 2025-03-11: 0; 2025-03-18: 0; 2025-03-25: 0"
Ayushjhawar8,50,"2025-03-04: 1; 2025-03-11: 1; 2025-03-18: 1; 2025-03-25: 0"
krushnarout,5,"2025-03-04: 1; 2025-03-11: 0; 2025-03-18: 0; 2025-03-25: 1"
ArnavK-09,50,"2025-03-04: 1; 2025-03-11: 1; 2025-03-18: 0; 2025-03-25: 2"
dhvll,5,"2025-03-04: 0; 2025-03-11: 0; 2025-03-18: 0; 2025-03-25: 0"
