Maintainer username,Sponsorship amount in USD,REMARKS
Abse2001,2000,"Weekly scores: [3 (09/01-09/07), 3 (09/08-09/14)]"
AnasSarkiz,1550,"Weekly scores: [3 (09/01-09/07), 3 (09/08-09/14)]"
GokulPandi-M,250,"Weekly scores: [2 (09/01-09/07), 2 (09/08-09/14)]"
KrishnaX12,250,"Weekly scores: [2 (09/01-09/07), 2 (09/08-09/14)]"
ShiboSoftwareDev,2000,"Weekly scores: [3 (09/01-09/07), 3 (09/08-09/14)]"
addibble,10,"Weekly scores: [0 (09/01-09/07), 0 (09/08-09/14)]"
anil08607,250,"Weekly scores: [2 (09/01-09/07), 2 (09/08-09/14)]"
hrithik18k,250,"Weekly scores: [2 (09/01-09/07), 2 (09/08-09/14)]"
mohan-bee,900,"Weekly scores: [3 (09/01-09/07), 3 (09/08-09/14)]"
Sang-it,30,"Weekly scores: [1 (09/01-09/07), 0 (09/08-09/14)]"
